"V1" "V2"
"419" "TG(56:6/FA18:3)" "TG.56.6.FA18.3."
"420" "TG(56:6/FA22:2)" "TG.56.6.FA22.2."
"421" "TG(56:8/FA22:4)" "TG.56.8.FA22.4."
"422" "TG(56:9/FA22:5)" "TG.56.9.FA22.5."
"423" "TG(56:10/FA16:1)" "TG.56.10.FA16.1."
"424" "TG(56:10/FA18:3)" "TG.56.10.FA18.3."
"425" "TG(56:10/FA22:6)" "TG.56.10.FA22.6."
"426" "TG(56:8/FA20:2)" "TG.56.8.FA20.2."
"427" "TG(58:5/FA16:1)" "TG.58.5.FA16.1."
"428" "TG(58:5/FA20:2)" "TG.58.5.FA20.2."
"429" "TG(58:7/FA16:1)" "TG.58.7.FA16.1."
